eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,perplexity,seed,schedule,dataset,model,experiment
2.3429806232452393,0.8114,61.62,16.021,2.0,10.412225277644783,42,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s42
3.9248971939086914,1.0504,40.935,10.472,2.0,50.647870881540015,100,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s100
2.764836072921753,0.8914,49.36,12.34,2.0,15.876437199322599,2025,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s2025
3.717137336730957,1.0173,49.151,12.779,2.0,41.14643695962894,100,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s100
3.3432090282440186,0.7577,58.067,14.517,2.0,28.309828133914845,777,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s777
3.6099588871002197,1.0478,47.721,12.408,2.0,36.96453306443875,42,ranknet,wikitext,gpt2-medium,wikitext_gpt2-medium_ranknet_s42
2.895376443862915,0.8829,49.835,12.459,2.0,18.09031014586245,42,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s42
2.822218894958496,0.8733,50.385,12.596,2.0,16.814118072448572,123,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s123
3.22037410736084,0.7852,56.036,14.009,2.0,25.037485136965824,555,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s555
3.2165651321411133,0.7466,58.931,14.733,2.0,24.9422993717073,100,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s100
3.3144266605377197,0.7326,60.063,15.016,2.0,27.50661883269135,42,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s42
3.2774808406829834,0.7709,57.077,14.269,2.0,26.50890835080513,123,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s123
3.5023536682128906,1.0841,39.666,10.147,2.0,33.193486543058995,2024,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s2024
2.862161874771118,0.8942,49.203,12.301,2.0,17.499317405541653,99,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s99
2.8652231693267822,0.8581,51.274,12.818,2.0,17.55297005201977,100,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s100
3.5067834854125977,1.0712,40.14,10.268,2.0,33.340853784650776,555,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s555
3.0917093753814697,0.8619,51.051,12.763,2.0,22.01467717823207,999,ranknet,ag,news_bert-base-uncased,ag_news_bert-base-uncased_ranknet_s999
3.5057694911956787,1.2194,35.263,9.021,2.0,33.307063486204825,99,uniform,ag,news_gpt2-medium,ag_news_gpt2-medium_uniform_s99
2.0811705589294434,1.024,48.829,12.695,2.0,8.013844102894302,555,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s555
2.744389533996582,0.9264,47.494,11.874,2.0,15.555115164155117,7,uniform,ag,news_bert-base-uncased,ag_news_bert-base-uncased_uniform_s7
2.0289697647094727,0.9721,51.435,13.373,2.0,7.606246097658345,2024,uniform,wikitext,bert-base-uncased,wikitext_bert-base-uncased_uniform_s2024
3.381619930267334,1.1796,42.388,11.021,2.0,29.418388272216312,555,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s555
3.8179352283477783,0.9958,43.18,11.046,2.0,45.510143189213316,999,ranknet,ag,news_gpt2-medium,ag_news_gpt2-medium_ranknet_s999
3.346529483795166,1.3063,38.275,9.952,2.0,28.403985896716456,7,uniform,wikitext,gpt2-medium,wikitext_gpt2-medium_uniform_s7
2.316239595413208,0.7936,63.001,16.38,2.0,10.137481508929737,777,ranknet,wikitext,bert-base-uncased,wikitext_bert-base-uncased_ranknet_s777
