feature,predicted_rank
bert.encoder.layer.0.attention.output.dense.bias,2
bert.encoder.layer.6.attention.self.value.bias,2
bert.encoder.layer.3.attention.self.value.bias,2
bert.encoder.layer.10.attention.self.value.bias,2
bert.encoder.layer.5.attention.self.value.bias,2
bert.encoder.layer.4.attention.self.value.bias,2
bert.encoder.layer.11.attention.self.value.bias,2
bert.encoder.layer.8.attention.self.key.bias,1
bert.encoder.layer.9.attention.self.key.bias,1
bert.encoder.layer.10.attention.self.key.bias,1
bert.encoder.layer.5.attention.self.key.bias,1
bert.encoder.layer.7.attention.self.key.bias,1
bert.encoder.layer.6.attention.self.key.bias,1
bert.encoder.layer.11.attention.self.key.bias,1
bert.encoder.layer.1.attention.self.key.bias,1
bert.encoder.layer.4.attention.self.key.bias,1
bert.encoder.layer.3.attention.self.key.bias,1
bert.encoder.layer.2.attention.self.key.bias,0
bert.encoder.layer.0.attention.self.key.bias,0
