module_name,bytes
LayerNorm_126492896768992,4194304
Conv1D_126492825132912,4194304
Dropout_126492825133536,4194304
GPT2Attention_126493180758256,4194304
LayerNorm_126492825133344,4194304
Conv1D_126492825132864,4194304
Dropout_126492825132720,4194304
GPT2MLP_126492825131232,4194304
GPT2Block_126492824842512,4194304
LayerNorm_126492894724464,4194304
Conv1D_126492821257200,4194304
Dropout_126492821255376,4194304
GPT2Attention_126494286416496,4194304
LayerNorm_126492821255520,4194304
Conv1D_126492821254944,4194304
Dropout_126492821254896,4194304
GPT2MLP_126492821255664,4194304
GPT2Block_126492825126384,4194304
LayerNorm_126492821255328,4194304
Conv1D_126492821255184,4194304
Dropout_126492821255088,4194304
GPT2Attention_126492821255280,4194304
LayerNorm_126492821255568,4194304
Conv1D_126492821255424,4194304
Dropout_126492821255808,4194304
GPT2MLP_126492821255040,4194304
GPT2Block_126492821254848,4194304
LayerNorm_126492821255856,4194304
Conv1D_126492821256096,4194304
Dropout_126492821256192,4194304
GPT2Attention_126492821255712,4194304
LayerNorm_126492821256240,4194304
Conv1D_126492821257344,4194304
Dropout_126492821250000,4194304
GPT2MLP_126492821256144,4194304
GPT2Block_126492821254752,4194304
LayerNorm_126492821249664,4194304
Conv1D_126492821249136,4194304
Dropout_126492821248800,4194304
GPT2Attention_126492821249616,4194304
LayerNorm_126492821248704,4194304
Conv1D_126492821248992,4194304
Dropout_126492821249808,4194304
GPT2MLP_126492821249184,4194304
GPT2Block_126492821248752,4194304
LayerNorm_126492821249088,4194304
Conv1D_126492821254368,4194304
Dropout_126492821254272,4194304
GPT2Attention_126492821254512,4194304
LayerNorm_126492821254224,4194304
Conv1D_126492821254032,4194304
Dropout_126492821253936,4194304
GPT2MLP_126492821254176,4194304
GPT2Block_126492821249712,4194304
LayerNorm_126492821253840,4194304
Conv1D_126492821253648,4194304
Dropout_126492821253552,4194304
GPT2Attention_126492821253792,4194304
LayerNorm_126492821253504,4194304
Conv1D_126492821253312,4194304
Dropout_126492821253216,4194304
GPT2MLP_126492821253456,4194304
GPT2Block_126492821253888,4194304
LayerNorm_126492821253120,4194304
Conv1D_126492821252928,4194304
Dropout_126492821252832,4194304
GPT2Attention_126492821253072,4194304
LayerNorm_126492821252784,4194304
Conv1D_126492821252592,4194304
Dropout_126492821252496,4194304
GPT2MLP_126492821252736,4194304
GPT2Block_126492821253168,4194304
LayerNorm_126492821252400,4194304
Conv1D_126492821252208,4194304
Dropout_126492821252112,4194304
GPT2Attention_126492821252352,4194304
LayerNorm_126492821252064,4194304
Conv1D_126492821251920,4194304
Dropout_126492821251824,4194304
GPT2MLP_126492821252016,4194304
GPT2Block_126492821252448,4194304
LayerNorm_126492821251728,4194304
Conv1D_126492821251536,4194304
Dropout_126492821251440,4194304
GPT2Attention_126492821251680,4194304
LayerNorm_126492821249952,4194304
Conv1D_126492821251104,4194304
Dropout_126492821250240,4194304
GPT2MLP_126492821250096,4194304
GPT2Block_126492821251776,4194304
LayerNorm_126492821250576,4194304
Conv1D_126492821251200,4194304
Dropout_126492821250672,4194304
GPT2Attention_126492821251056,4194304
LayerNorm_126492821250192,4194304
Conv1D_126492821250384,4194304
Dropout_126492821249040,4194304
GPT2MLP_126492821250288,4194304
